,Lp.,Przystanek
403,BUDZYŃSKIEJ-TYLICKIEJ 03  ,NIE
404,BUDZYŃSKIEJ-TYLICKIEJ 04  ,NIE
405,BUKOWIECKA 01  ,NIE
406,BUKOWIECKA 02  ,NIE
407,BUKOWIŃSKA 01  ,NIE
408,BUKOWIŃSKA 02  ,NIE
409,BUKOWIŃSKA 03  ,NIE
410,BUKOWIŃSKA 04  ,NIE
411,BUKOWSKIEGO 01  ,NIE
412,BUKOWSKIEGO 02  ,NIE
413,BUKÓW 01  ,NIE
414,BUKÓW 02  ,NIE
415,BUKÓW 03  ,NIE
416,BURSZTYNOWA-SZPITAL 01  ,NIE
417,BURSZTYNOWA-SZPITAL 02  ,NIE
418,BYDGOSKA 01  ,NIE
419,BYDGOSKA 02  ,NIE
420,BYSŁAWSKA 01  ,NIE
421,BYSŁAWSKA 03  ,NIE
422,BYSŁAWSKA 04  ,NIE
423,BYSŁAWSKA 05  ,NIE
424,BYSTRA 01  ,NIE
425,BYSTRA 02  ,NIE
426,BYSTRZYCKA 01  ,NIE
427,CEGLANA 01  ,NIE
428,CEGLANA 02  ,NIE
429,CEMENTOWNIA 01  ,TAK
430,CEMENTOWNIA 02  ,TAK
431,CENTRUM 01  ,TAK
432,CENTRUM 04  ,NIE
433,CENTRUM 05  ,NIE
434,CENTRUM 06  ,NIE
435,CENTRUM 07  ,NIE
436,CENTRUM 08  ,NIE
437,CENTRUM 09  ,NIE
438,CENTRUM 10  ,NIE
439,CENTRUM MODY 01  ,NIE
440,CENTRUM OLIMPIJSKIE 01  ,NIE
441,CENTRUM OLIMPIJSKIE 02  ,NIE
442,CENTRUM ONKOLOGII 01  ,NIE
443,CENTRUM ONKOLOGII 02  ,NIE
444,CENTRUM ONKOLOGII 03  ,NIE
445,CENTRUM ONKOLOGII 04  ,NIE
446,CENTRUM OPTYKI 01  ,NIE
447,CENTRUM OPTYKI 02  ,NIE
448,CENTRUM TARGOWE 02  ,NIE
449,CENTRUM ZDROWIA DZIECKA 01  ,NIE
450,CENTRUM ZDROWIA DZIECKA 02  ,NIE
451,CERAMICZNA 01  ,NIE
452,CERAMICZNA 02  ,NIE
453,CHABROWA 01  ,NIE
454,CHABROWA 02  ,NIE
455,CH ARKADIA 01  ,NIE
456,CH BŁĘKITNE 01  ,NIE
457,CH BŁĘKITNE 02  ,NIE
458,CH BŁĘKITNE 03  ,NIE
459,CH BLUE CITY 01  ,NIE
460,CHĘCIŃSKA 01  ,NIE
461,CHĘCIŃSKA 02  ,NIE
462,CHEMICZNA 01  ,NIE
463,CHEMICZNA 02  ,NIE
464,CHEŁMSKA 01  ,NIE
465,CHEŁMSKA 02  ,NIE
466,CHEŁMSKA 03  ,NIE
467,CHEŁMSKA 04  ,NIE
468,CH MARKI 01  ,NIE
469,CH MARKI 02  ,NIE
470,CH MARKI 04  ,NIE
471,CH MARKI 05  ,NIE
472,CHODAKOWSKA 01  ,NIE
473,CHODAKOWSKA 02  ,NIE
474,CHODECKA 01  ,NIE
475,CHODECKA 02  ,NIE
476,CHODECKA 03  ,NIE
477,CHODKIEWICZA 01  ,NIE
478,CHODKIEWICZA 01  ,NIE
479,CHODKIEWICZA 02  ,NIE
480,CHODKIEWICZA 02  ,NIE
481,CHŁODNA 01  ,NIE
482,CHŁODNA 02  ,NIE
483,CHŁODNIA 01  ,NIE
484,CHŁODNIA 02  ,NIE
485,CHOMICZÓWKA 01  ,NIE
486,CHOMICZÓWKA 02  ,NIE
487,CHOMICZÓWKA 03  ,NIE
488,CHOMICZÓWKA 05  ,NIE
489,CHOMICZÓWKA 06  ,NIE
490,CHŁOPICKIEGO 01  ,NIE
491,CHŁOPICKIEGO 02  ,NIE
492,CHŁOPICKIEGO 03  ,NIE
493,CHŁOPICKIEGO 04  ,NIE
494,CHOPINA 01  ,NIE
495,CHOPINA 02  ,NIE
496,CHOSZCZÓWKA 01  ,NIE
497,CHOTOMOWSKA 01  ,NIE
498,CHOTOMÓW 01  ,NIE
499,CH REDUTA 01  ,NIE
500,CH REDUTA 02  ,NIE
501,CH TARGÓWEK 01  ,NIE
502,CH TARGÓWEK 02  ,NIE
503,CH TARGÓWEK 03  ,NIE
504,CH TARGÓWEK 04  ,NIE
505,CHUDOBY 01  ,NIE
506,CHUDOBY 02  ,NIE
507,CH WÓLKA KOSOWSKA 01  ,NIE
508,CH WÓLKA KOSOWSKA 02  ,NIE
509,CHYLICE 01  ,NIE
510,CHYLICE 02  ,NIE
511,CHYLICZKI 01  ,NIE
512,CHYLICZKI 02  ,NIE
513,CHYLICZKOWSKA-TECHNIKUM 01  ,NIE
514,CHYLICZKOWSKA-TECHNIKUM 02  ,NIE
515,CHYLICZKOWSKA-TECHNIKUM 03  ,NIE
516,CICHA 01  ,NIE
517,CICHA 02  ,NIE
518,CIEPŁOWNIA WOLA 01  ,TAK
519,CIEPŁOWNIA WOLA 03  ,TAK
520,CIEPŁOWNIA WOLA 04  ,TAK
521,CIEPŁOWNIA WOLA 06  ,NIE
522,CIEPŁOWNIA WOLA 07  ,NIE
523,CIEPŁOWNIA WOLA 08  ,NIE
524,CIEĆWIERZA 01  ,NIE
525,CIOŁKA 02  ,NIE
526,CIOŁKA 03  ,NIE
527,CIOŁKA 04  ,NIE
528,CIOŁKOSZA 01  ,NIE
529,CIOŁKOSZA 02  ,NIE
530,CISZEWSKIEGO 01  ,NIE
531,CISZEWSKIEGO 02  ,NIE
532,CISZEWSKIEGO 04  ,NIE
533,CISZEWSKIEGO 06  ,NIE
534,CM.BRÓDNOWSKI 01  ,NIE
535,CM.BRÓDNOWSKI 02  ,NIE
536,CMENTARZ 01,NIE
537,CMENTARZ 01  ,NIE
538,CMENTARZ 01  ,NIE
539,CMENTARZ 01  ,NIE
